id,date,platform,positive_count,negative_count,neutral_count,avg_polarity
1,2026-04-12 00:00:00+00,twitter,2,1,0,0.21646666666666667
2,2026-04-12 00:00:00+00,youtube,2,3,0,-0.21162
3,2026-04-11 00:00:00+00,twitter,2,3,0,-0.1954
4,2026-04-11 00:00:00+00,youtube,7,1,2,0.39426000000000005
5,2026-04-10 00:00:00+00,twitter,7,4,0,0.19347272727272724
6,2026-04-10 00:00:00+00,youtube,1,2,2,-0.14702
7,2026-04-09 00:00:00+00,twitter,5,2,0,0.25671428571428573
8,2026-04-09 00:00:00+00,youtube,6,4,1,0.08510000000000001
9,2026-04-08 00:00:00+00,twitter,4,2,3,0.2184111111111111
10,2026-04-08 00:00:00+00,youtube,9,5,1,0.09417333333333336
11,2026-04-07 00:00:00+00,twitter,2,0,0,0.57765
12,2026-04-07 00:00:00+00,youtube,3,0,1,0.45952499999999996
13,2026-04-06 00:00:00+00,twitter,2,1,4,-0.004342857142857143
14,2026-04-06 00:00:00+00,youtube,2,3,0,-0.09621999999999997
15,2026-04-05 00:00:00+00,twitter,5,4,2,0.012790909090909075
16,2026-04-05 00:00:00+00,youtube,5,4,2,0.03156363636363639
17,2026-04-04 00:00:00+00,twitter,4,5,7,0.006668749999999998
18,2026-04-04 00:00:00+00,youtube,8,2,4,0.11881428571428572
19,2026-04-03 00:00:00+00,twitter,4,1,5,0.18267
20,2026-04-03 00:00:00+00,youtube,4,3,2,-0.037433333333333346
21,2026-04-02 00:00:00+00,twitter,3,6,1,-0.22157999999999997
22,2026-04-02 00:00:00+00,youtube,0,5,2,-0.22259999999999996
23,2026-04-01 00:00:00+00,twitter,1,4,3,-0.12417500000000001
24,2026-04-01 00:00:00+00,youtube,4,2,1,0.07797142857142858
25,2026-03-31 00:00:00+00,twitter,0,5,1,-0.5978166666666667
26,2026-03-31 00:00:00+00,youtube,3,4,2,-0.14225555555555555
27,2026-03-30 00:00:00+00,twitter,1,0,1,0.4175
28,2026-03-30 00:00:00+00,youtube,4,3,2,0.018744444444444435
29,2026-03-29 00:00:00+00,twitter,4,6,0,-0.17414999999999997
30,2026-03-29 00:00:00+00,youtube,6,4,2,0.04276666666666667
31,2026-03-28 00:00:00+00,twitter,4,1,1,0.29128333333333334
32,2026-03-28 00:00:00+00,youtube,4,2,4,0.12364
33,2026-03-27 00:00:00+00,twitter,2,6,2,-0.32284
34,2026-03-27 00:00:00+00,youtube,4,3,1,0.04574999999999997
35,2026-03-26 00:00:00+00,twitter,8,4,1,0.22115384615384615
36,2026-03-26 00:00:00+00,youtube,4,1,0,0.32796
37,2026-03-25 00:00:00+00,twitter,4,0,6,0.2354
38,2026-03-25 00:00:00+00,youtube,2,0,2,0.292925
39,2026-03-24 00:00:00+00,twitter,3,3,3,0.002877777777777769
40,2026-03-24 00:00:00+00,youtube,5,2,3,0.18717000000000003
41,2026-03-23 00:00:00+00,twitter,2,2,4,-0.07086250000000001
42,2026-03-23 00:00:00+00,youtube,3,3,1,-0.018471428571428566
43,2026-03-22 00:00:00+00,twitter,0,2,4,-0.2751166666666667
44,2026-03-22 00:00:00+00,youtube,3,4,0,-0.13877142857142857
45,2026-03-21 00:00:00+00,twitter,2,0,1,0.248
46,2026-03-21 00:00:00+00,youtube,5,4,1,0.0881
47,2026-03-20 00:00:00+00,twitter,5,2,4,0.10414545454545453
48,2026-03-20 00:00:00+00,youtube,4,3,3,0.024620000000000013
49,2026-03-19 00:00:00+00,twitter,8,6,1,0.05653333333333334
50,2026-03-19 00:00:00+00,youtube,5,2,2,0.16626666666666667
51,2026-03-18 00:00:00+00,twitter,4,3,1,-0.012275000000000003
52,2026-03-18 00:00:00+00,youtube,0,1,1,-0.44615
53,2026-03-17 00:00:00+00,twitter,4,2,0,0.08563333333333333
54,2026-03-17 00:00:00+00,youtube,3,2,2,0.06682857142857142
55,2026-03-16 00:00:00+00,twitter,1,2,3,-0.23253333333333334
56,2026-03-16 00:00:00+00,youtube,2,3,1,-0.1967
57,2026-03-15 00:00:00+00,twitter,3,2,4,0.023133333333333332
58,2026-03-15 00:00:00+00,youtube,2,0,1,0.4494
59,2026-03-14 00:00:00+00,twitter,5,0,2,0.3302285714285714
60,2026-03-14 00:00:00+00,youtube,5,1,7,0.23313846153846157
