id,platform_id,text,platform,created_at,location,label,polarity,confidence,model_used
1,seed_youtube_0_1773744165,kubernetes support team resolved my issue in under 10 min. Stellar experience!,youtube,2026-03-17 10:42:45.505348+00,"New York, US",positive,0.5081,0.7517,bert
2,seed_twitter_1_1774940188,The aws platform keeps crashing. Switching to a competitor ASAP.,twitter,2026-03-31 06:56:28.806118+00,"San Francisco, US",negative,-0.6112,0.8411,ensemble
3,seed_twitter_2_1773606230,Huge shoutout to the aws team – your product is flawless ⭐⭐⭐⭐⭐,twitter,2026-03-15 20:23:50.199833+00,"New York, US",positive,0.3052,0.9717,ensemble
4,seed_twitter_3_1773616058,The value conference keynote starts in 2 hours. Curious what they'll announce.,twitter,2026-03-15 23:07:38.714921+00,"Singapore, SG",neutral,-0.0422,0.732,bert
5,seed_twitter_4_1774520296,The server platform keeps crashing. Switching to a competitor ASAP.,twitter,2026-03-26 10:18:16.672042+00,"Toronto, CA",negative,-0.5235,0.8043,bert
6,seed_twitter_5_1773934834,This bug outage has cost us thousands. Where is the status page??,twitter,2026-03-19 15:40:34.57862+00,"New York, US",negative,-0.4242,0.8342,ensemble
7,seed_twitter_6_1774557924,broken support team resolved my issue in under 10 min. Stellar experience!,twitter,2026-03-26 20:45:24.261317+00,"San Francisco, US",positive,0.9112,0.7439,ensemble
8,seed_youtube_7_1774675400,This value outage has cost us thousands. Where is the status page??,youtube,2026-03-28 05:23:20.538992+00,"Toronto, CA",negative,-0.7627,0.7348,textblob
9,seed_youtube_8_1775712401,Finally a aws solution that actually works – saving me hours every day 🎉,youtube,2026-04-09 05:26:41.892176+00,,positive,0.6701,0.9274,ensemble
10,seed_youtube_9_1774821213,Reviewing the fix changelog for the latest release.,youtube,2026-03-29 21:53:33.977912+00,"Bangalore, IN",neutral,-0.1072,0.8226,bert
11,seed_twitter_10_1775847185,Super happy with our decision to move to deploy. Zero regrets.,twitter,2026-04-10 18:53:05.782747+00,"London, UK",positive,0.6769,0.8822,ensemble
12,seed_youtube_11_1774773115,The subscription demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-03-29 08:31:55.459232+00,"London, UK",positive,0.6447,0.9532,ensemble
13,seed_youtube_12_1774735062,Been waiting 3 days for cloud support to reply. Absolutely terrible service 😡,youtube,2026-03-28 21:57:42.765951+00,,negative,-0.3357,0.7293,bert
14,seed_youtube_13_1774293837,help charged me twice this month and I can't reach anyone. Do better.,youtube,2026-03-23 19:23:57.679036+00,"Tokyo, JP",negative,-0.6575,0.7037,ensemble
15,seed_youtube_14_1773494058,Been waiting 3 days for breach support to reply. Absolutely terrible service 😡,youtube,2026-03-14 13:14:18.145106+00,,negative,-0.3689,0.9141,bert
16,seed_youtube_15_1775338847,Submitted 5 kubernetes tickets this week. Not a single response.,youtube,2026-04-04 21:40:47.168419+00,"Toronto, CA",negative,-0.7738,0.773,textblob
17,seed_twitter_16_1773617510,subscription charged me twice this month and I can't reach anyone. Do better.,twitter,2026-03-15 23:31:50.395317+00,"Amsterdam, NL",negative,-0.4326,0.8824,textblob
18,seed_youtube_17_1775942367,The new cost platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-04-11 21:19:27.816506+00,"Toronto, CA",positive,0.3391,0.9141,bert
19,seed_youtube_18_1775502368,Cancelled my plan subscription. The quality has dropped so much.,youtube,2026-04-06 19:06:08.312924+00,"Mumbai, IN",negative,-0.4656,0.7031,bert
20,seed_youtube_19_1775206654,Our team's productivity shot up 40% after adopting broken. Game changer! 💡,youtube,2026-04-03 08:57:34.919634+00,"Sydney, AU",positive,0.5876,0.8675,ensemble
21,seed_youtube_20_1774084237,The vulnerability UI is confusing and unintuitive. Needs a complete redesign.,youtube,2026-03-21 09:10:37.506594+00,"Singapore, SG",negative,-0.3159,0.789,ensemble
22,seed_twitter_21_1775956182,The breach UI is confusing and unintuitive. Needs a complete redesign.,twitter,2026-04-12 01:09:42.839527+00,"New York, US",negative,-0.3934,0.9695,textblob
23,seed_twitter_22_1773996779,The aws demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-03-20 08:52:59.668353+00,"San Francisco, US",positive,0.5629,0.9307,bert
24,seed_twitter_23_1775387686,Been waiting 3 days for model support to reply. Absolutely terrible service 😡,twitter,2026-04-05 11:14:46.577086+00,"Berlin, DE",negative,-0.6619,0.9307,bert
25,seed_twitter_24_1773836298,This subscription outage has cost us thousands. Where is the status page??,twitter,2026-03-18 12:18:18.408359+00,"San Francisco, US",negative,-0.8819,0.923,ensemble
26,seed_twitter_25_1773422217,Just tried cost and wow – completely changed my workflow. Would highly recommend!,twitter,2026-03-13 17:16:57.558298+00,"Toronto, CA",positive,0.3862,0.7493,ensemble
27,seed_twitter_26_1773978163,gpt charged me twice this month and I can't reach anyone. Do better.,twitter,2026-03-20 03:42:43.640608+00,"Bangalore, IN",negative,-0.5463,0.8538,ensemble
28,seed_twitter_27_1775304856,Cancelled my model subscription. The quality has dropped so much.,twitter,2026-04-04 12:14:16.282313+00,,negative,-0.9438,0.9509,ensemble
29,seed_twitter_28_1775066158,"value has gone downhill fast. It used to be great, now it's a buggy mess.",twitter,2026-04-01 17:55:58.197132+00,"Berlin, DE",negative,-0.2789,0.9076,textblob
30,seed_twitter_29_1773946137,help charged me twice this month and I can't reach anyone. Do better.,twitter,2026-03-19 18:48:57.416895+00,,negative,-0.6092,0.7279,textblob
31,seed_youtube_30_1774130844,The price UI is confusing and unintuitive. Needs a complete redesign.,youtube,2026-03-21 22:07:24.504271+00,"Amsterdam, NL",negative,-0.7471,0.8869,bert
32,seed_youtube_31_1775441421,Cancelled my cheap subscription. The quality has dropped so much.,youtube,2026-04-06 02:10:21.042612+00,"Berlin, DE",negative,-0.8563,0.9291,bert
33,seed_youtube_32_1773993577,Super happy with our decision to move to cloud. Zero regrets.,youtube,2026-03-20 07:59:37.606276+00,"Paris, FR",positive,0.749,0.8438,bert
34,seed_twitter_33_1775659328,Just tried support and wow – completely changed my workflow. Would highly recommend!,twitter,2026-04-08 14:42:08.430059+00,"Sydney, AU",positive,0.8025,0.8847,bert
35,seed_twitter_34_1775078963,Our team had a plan eval call today. Still deciding.,twitter,2026-04-01 21:29:23.278191+00,"Mumbai, IN",neutral,0.0866,0.7972,textblob
36,seed_twitter_35_1775178222,Setting up a cloud demo environment. First impressions later.,twitter,2026-04-03 01:03:42.832327+00,"Toronto, CA",neutral,0.0215,0.6411,textblob
37,seed_twitter_36_1775852794,Why is plan so expensive now?! The new pricing is outrageous.,twitter,2026-04-10 20:26:34.143844+00,"Toronto, CA",negative,-0.2638,0.9334,bert
38,seed_youtube_37_1775218860,Just installed the new help version. Will test it over the next few days.,youtube,2026-04-03 12:21:00.841724+00,"Amsterdam, NL",neutral,-0.0007,0.7608,ensemble
39,seed_twitter_38_1775313876,"Seriously impressed with ml. The UX is clean, fast, and just works.",twitter,2026-04-04 14:44:36.544404+00,"San Francisco, US",positive,0.8234,0.8342,textblob
40,seed_youtube_39_1773603203,The new support platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-03-15 19:33:23.886543+00,"Tokyo, JP",positive,0.5472,0.7642,ensemble
41,seed_twitter_40_1775800722,Why is encrypt so expensive now?! The new pricing is outrageous.,twitter,2026-04-10 05:58:42.968243+00,"Berlin, DE",negative,-0.4679,0.9638,bert
42,seed_youtube_41_1775578624,The threat demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-04-07 16:17:04.675865+00,"Mumbai, IN",positive,0.8724,0.7796,bert
43,seed_youtube_42_1773881673,Super happy with our decision to move to aws. Zero regrets.,youtube,2026-03-19 00:54:33.753341+00,,positive,0.2897,0.8347,bert
44,seed_twitter_43_1774774001,Blown away by how fast and reliable the new encrypt update is. 10/10!,twitter,2026-03-29 08:46:41.529112+00,"London, UK",positive,0.6912,0.8879,ensemble
45,seed_youtube_44_1773464288,Blown away by how fast and reliable the new subscription update is. 10/10!,youtube,2026-03-14 04:58:08.836759+00,"Bangalore, IN",positive,0.5263,0.9599,ensemble
46,seed_youtube_45_1775645308,The azure demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-04-08 10:48:28.556509+00,,positive,0.3274,0.8024,textblob
47,seed_youtube_46_1775255098,Been waiting 3 days for plan support to reply. Absolutely terrible service 😡,youtube,2026-04-03 22:24:58.832984+00,"New York, US",negative,-0.8183,0.7568,bert
48,seed_youtube_47_1775951999,Our team's productivity shot up 40% after adopting azure. Game changer! 💡,youtube,2026-04-11 23:59:59.895869+00,,positive,0.9039,0.8365,bert
49,seed_youtube_48_1775034983,New aws blog post is out. Covers migration steps.,youtube,2026-04-01 09:16:23.006692+00,,neutral,0.0276,0.6783,bert
50,seed_twitter_49_1774603146,The vulnerability demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-03-27 09:19:06.27626+00,"Amsterdam, NL",positive,0.3318,0.9487,textblob
51,seed_twitter_50_1775117071,Huge shoutout to the support team – your product is flawless ⭐⭐⭐⭐⭐,twitter,2026-04-02 08:04:31.146719+00,"Toronto, CA",positive,0.5014,0.7351,textblob
52,seed_youtube_51_1773509132,Reading the threat docs. Seems fairly comprehensive so far.,youtube,2026-03-14 17:25:32.46518+00,"Paris, FR",neutral,-0.003,0.755,bert
53,seed_twitter_52_1773627489,The new value platform is absolutely incredible! Best launch I've seen this year 🚀,twitter,2026-03-16 02:18:09.700146+00,"Sydney, AU",positive,0.3245,0.8786,ensemble
54,seed_youtube_53_1775931316,Huge shoutout to the threat team – your product is flawless ⭐⭐⭐⭐⭐,youtube,2026-04-11 18:15:16.696815+00,"Bangalore, IN",positive,0.3751,0.7661,textblob
55,seed_twitter_54_1773709143,The firewall demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-03-17 00:59:03.008783+00,,positive,0.4402,0.9189,textblob
56,seed_twitter_55_1773956039,Huge shoutout to the cost team – your product is flawless ⭐⭐⭐⭐⭐,twitter,2026-03-19 21:33:59.346793+00,"Bangalore, IN",positive,0.5652,0.7462,bert
57,seed_twitter_56_1775016518,Reviewing the model changelog for the latest release.,twitter,2026-04-01 04:08:38.389578+00,"Paris, FR",neutral,0.1325,0.83,ensemble
58,seed_youtube_57_1773953895,Attended the deploy webinar. Informative overview of the roadmap.,youtube,2026-03-19 20:58:15.71312+00,"Paris, FR",neutral,-0.0565,0.6041,ensemble
59,seed_twitter_58_1775706817,aws support team resolved my issue in under 10 min. Stellar experience!,twitter,2026-04-09 03:53:37.702681+00,"Amsterdam, NL",positive,0.8725,0.9543,textblob
60,seed_twitter_59_1774770909,Cancelled my cloud subscription. The quality has dropped so much.,twitter,2026-03-29 07:55:09.275242+00,,negative,-0.8367,0.7949,bert
61,seed_youtube_60_1775174981,The breach demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-04-03 00:09:41.305866+00,"Singapore, SG",positive,0.5795,0.9796,textblob
62,seed_twitter_61_1775278066,Attended the expensive webinar. Informative overview of the roadmap.,twitter,2026-04-04 04:47:46.128845+00,"New York, US",neutral,-0.0372,0.5689,textblob
63,seed_youtube_62_1774856170,The new azure platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-03-30 07:36:10.33369+00,"Singapore, SG",positive,0.6893,0.735,textblob
64,seed_youtube_63_1775663330,"encrypt has gone downhill fast. It used to be great, now it's a buggy mess.",youtube,2026-04-08 15:48:50.084556+00,,negative,-0.7972,0.829,textblob
65,seed_youtube_64_1775806976,data charged me twice this month and I can't reach anyone. Do better.,youtube,2026-04-10 07:42:56.005207+00,"San Francisco, US",negative,-0.2913,0.8349,ensemble
